"QoE_R","QoS_R"
0.95,0.368
1.0,0.368
0.9,0.368
1.0,1.0
1.0,0.368
0.8,1.0
0.3,0.368
1.0,0.368
0.48,0.368
1.0,0.368
1.0,1.0
0.75,0.368
0.6,0.368
1.0,0.368
0.85,0.368
0.3,0.368
1.0,0.368
0.65,0.368
0.9,0.368
0.2,0.368
0.4,0.368
0.2,0.368
0.2,0.368
1.0,1.0
0.5,0.368
0.8,0.368
1.0,1.0
0.54,0.368
0.03,0.368
0.49,0.368
0.97,0.368
0.5,0.368
0.95,1.0
0.98,0.368
0.5,0.368
0.97,0.368
1.0,1.0
0.35,0.368
0.7,0.368
0.65,0.368
0.55,0.368
0.95,0.368
0.6,0.368
1.0,1.0
0.7,0.368
0.5,0.368
0.6,0.368
0.65,0.368
0.05,0.368
0.95,1.0
1.0,1.0
1.0,1.0
1.0,0.368
0.85,0.368
0.8,0.368
