,project,R1,R5,R10,R50,R100
0,antlr4,0.7842,0.2965,0.0879,0.0000,0.0000
1,logging-log4j2,0.7131,0.1844,0.0340,0.0000,0.0000
2,validation,0.9916,0.9585,0.9187,0.6546,0.4285
3,java-classmate,0.9922,0.9614,0.9242,0.6744,0.4548
4,attoparser,0.9924,0.9627,0.9268,0.6838,0.4675
5,checker-framework,0.6125,0.0862,0.0074,0.0000,0.0000
6,webjars-locator-lite,0.9898,0.9501,0.9027,0.5994,0.3593
7,HikariCP,0.9131,0.6349,0.4031,0.0106,0.0001
8,common-annotations-api,0.9944,0.9722,0.9451,0.7541,0.5687
9,error-prone,0.7834,0.2951,0.0871,0.0000,0.0000
10,tomcat,0.3856,0.0085,0.0001,0.0000,0.0000
11,antlr4,0.7842,0.2965,0.0879,0.0000,0.0000
12,slf4j,0.9362,0.7194,0.5175,0.0371,0.0014
13,spring-data-commons,0.9640,0.8323,0.6927,0.1595,0.0254
14,logback,0.8607,0.4723,0.2231,0.0006,0.0000
15,unbescape,0.9908,0.9549,0.9119,0.6305,0.3976
16,jackson-databind,0.8418,0.4226,0.1786,0.0002,0.0000
17,jsr107spec,0.9727,0.8709,0.7585,0.2511,0.0631
18,jboss-logging,0.9950,0.9753,0.9512,0.7788,0.6065
19,jspecify,0.9647,0.8357,0.6984,0.1661,0.0276
20,jaf-api,0.9874,0.9384,0.8807,0.5298,0.2806
21,hibernate-orm,0.5000,0.0312,0.0010,0.0000,0.0000
22,micrometer,0.8442,0.4289,0.1839,0.0002,0.0000
23,caffeine,0.9217,0.6653,0.4426,0.0170,0.0003
24,reactor-core,0.7259,0.2016,0.0406,0.0000,0.0000
25,bootstrap,0.5624,0.0563,0.0032,0.0000,0.0000
26,thymeleaf,0.9198,0.6585,0.4336,0.0153,0.0002
27,spring-framework,0.6581,0.1235,0.0152,0.0000,0.0000
28,spring-data-jpa,0.9677,0.8485,0.7200,0.1935,0.0374
29,slf4j-api,0.9362,0.7194,0.5175,0.0371,0.0014
30,jackson-annotations,0.9910,0.9559,0.9138,0.6371,0.4059
31,org.aspectj,0.7672,0.2657,0.0706,0.0000,0.0000
32,jta-api,0.9867,0.9351,0.8744,0.5111,0.2612
33,jakarta.xml.bind-api,0.9823,0.9144,0.8362,0.4088,0.1671
34,snakeyaml,0.9515,0.7798,0.6081,0.0832,0.0069
35,persistence,0.9786,0.8976,0.8057,0.3395,0.1153
36,jackson-core,0.9412,0.7387,0.5456,0.0484,0.0023
37,hibernate-validator,0.9156,0.6434,0.4139,0.0122,0.0001
38,reactive-streams-jvm,0.9757,0.8841,0.7816,0.2917,0.0851
39,spring-petclinic,0.9825,0.9155,0.8381,0.4136,0.1711
40,spring-boot,0.5980,0.0765,0.0059,0.0000,0.0000
