,project,R1,R5,R10,number-of-commits,number-of-entities,number-of-entities-changed,number-of-authors,max-age-months,avg-age-months,avg2-degree-coupling,avg2-strength-communication,avg2-author-revs-effort,avg2-total-revs-effort,avg2-ownership-added,avg2-ownership-deleted,avg-author-churn-added,avg-author-churn-deleted,avg-author-churn-commits,avg-entity-churn-added,avg-entity-churn-deleted,avg-entity-churn-commits,avg-fragmentation-fractal-value,avg-fragmentation-total-revs,avg-main-dev-ownership,avg-refactoring-main-dev-ownership,avg-revisions,avg-soc
0,logging-log4j2,0.7131,0.1844,0.034,13848,17573,83688,261,177,60.69475900529221,55.38189830234899,6.610355885753611,1.7126963585859445,4.762305810049508,30.969036656724864,14.005906882882954,4774.022988505747,2809.7471264367814,53.05747126436781,70.90536618676379,41.731292323450745,4.762305810049508,0.23857770443292575,4.762305810049508,0.5942013315882536,0.4857696466169689,4.762305810049508,3894.627837514934
1,validation,0.9916,0.9585,0.9187,441,396,1662,20,185,58.5479797979798,63.67617604617605,17.4938368648895,1.695875420875421,4.196969696969697,18.309132996632997,7.05462962962963,938.55,389.05,22.05,47.40151515151515,19.6489898989899,4.196969696969697,0.20909090909090902,4.196969696969697,0.9000252525252523,0.839469696969697,4.196969696969697,182.025
2,java-classmate,0.9922,0.9614,0.9242,279,124,750,18,172,100.79838709677419,64.4360119047619,21.904139433551197,2.2698540706605224,6.048387096774194,52.636616743471585,8.847043010752689,868.1666666666666,193.83333333333334,15.5,126.0241935483871,28.137096774193548,6.048387096774194,0.33983870967741936,6.048387096774194,0.8458870967741935,0.696048387096774,6.048387096774194,46.65263157894737
3,attoparser,0.9924,0.9627,0.9268,328,1333,2930,4,149,114.78769692423106,62.38189033189034,6.958333333333333,1.7898224556139035,2.1980495123780943,72.387471867967,36.59314828707177,28533.5,13866.25,82.0,85.6219054763691,41.60915228807202,2.1980495123780943,0.03906001500375101,2.1980495123780943,0.9698799699924984,0.46557389347336836,2.1980495123780943,310.911247130834
4,checker-framework,0.6125,0.0862,0.0074,17185,19996,88758,175,187,92.65128025605121,59.86485514909462,7.3012878984329515,1.7893349220127075,4.43878775755151,50.59653232427671,38.74872655088034,13555.56,11020.902857142857,98.2,118.63487697539507,96.45219043808761,4.43878775755151,0.26178155631123873,4.43878775755151,0.6689682936587249,0.6371504300860121,4.43878775755151,2437.355845511482
5,webjars-locator-lite,0.9898,0.9501,0.9027,348,63,631,28,143,34.44444444444444,55.214285714285715,29.319040224785567,2.148540612826327,10.015873015873016,25.925327053898485,22.044110122681552,291.25,266.0357142857143,12.428571428571429,129.44444444444446,118.23809523809524,10.015873015873016,0.4473015873015874,10.015873015873016,0.6377777777777779,0.6238095238095238,10.015873015873016,50.4
6,HikariCP,0.9131,0.6349,0.4031,2732,867,5840,159,136,111.0161476355248,66.53525641025641,40.972043326179524,3.0883864590794117,6.735870818915801,64.11883829290495,50.701646763598134,587.1006289308176,450.1698113207547,17.18238993710692,107.66897347174164,82.55709342560553,6.735870818915801,0.08042906574394464,6.735870818915801,0.6135986159169553,0.5878431372549019,6.735870818915801,79.56824146981627
7,common-annotations-api,0.9944,0.9722,0.9451,67,185,323,17,83,35.14594594594595,37.0,15.973139880952381,1.2459459459459459,1.7459459459459459,60.21238738738739,9.35382882882883,907.4117647058823,231.47058823529412,3.9411764705882355,83.38378378378378,21.27027027027027,1.7459459459459459,0.07054054054054054,1.7459459459459459,0.7764864864864865,0.42843243243243245,1.7459459459459459,42.1144578313253
8,error-prone,0.7834,0.2951,0.0871,6521,5220,31806,342,161,66.56149425287356,58.90940038745157,8.908217024950499,1.8263019695904603,6.093103448275862,85.30937832335182,23.319618603667045,2828.2690058479534,1036.0087719298247,19.067251461988302,185.30038314176244,67.8764367816092,6.093103448275862,0.35005919540230124,6.093103448275862,0.7476111111111079,0.6684042145593863,6.093103448275862,1077.9350227420402
9,tomcat,0.3856,0.0085,0.0001,26849,8884,93653,173,227,79.09241332733004,50.910676660044544,5.961090394699965,2.8454240977677023,10.541760468257541,88.82493327187917,57.813233301119006,13791.774566473989,8998.115606936417,155.19653179190752,268.57012606933813,175.22219720846465,10.541760468257541,0.2723016659162557,10.541760468257541,0.7616873030166541,0.6766659162539367,10.541760468257541,902.0303141425254
10,antlr4,0.7842,0.2965,0.0879,7485,12780,56019,428,181,94.27683881064162,56.93108278607557,22.50289352025053,2.154554115862635,4.383333333333334,97.23410550584461,76.7345911738644,4847.0,3974.0607476635514,17.488317757009344,162.32519561815337,133.0906103286385,4.383333333333334,0.15627957746478924,4.383333333333334,0.5658192488262863,0.4583648669796533,4.383333333333334,1271.8773970954023
11,slf4j,0.9362,0.7194,0.5175,1958,1259,9882,99,238,130.2065131056394,58.075628774716634,16.09743366929587,3.765396708763416,7.8490865766481335,83.04511458122303,65.53336695284983,1844.3737373737374,1497.6767676767677,19.77777777777778,145.03018268467036,117.76806989674344,7.8490865766481335,0.10401667990468608,7.8490865766481335,0.769968228752979,0.7196822875297864,7.8490865766481335,248.7094774136404
12,spring-data-commons,0.964,0.8323,0.6927,3091,2747,21139,176,176,75.03931561703676,54.66252653927813,11.508253730354838,2.1872766388203293,7.695303967965053,42.98407994249507,19.334850486112362,1785.1079545454545,959.5227272727273,17.5625,114.37167819439388,61.476519839825265,7.695303967965053,0.2731172187841313,7.695303967965053,0.7123589370222082,0.6021150345831816,7.695303967965053,2610.419441255262
13,logback,0.8607,0.4723,0.2231,4341,4335,26896,156,222,116.51580161476355,50.19043316121628,11.53607713532105,2.829100226954899,6.2043829296424455,58.86969430031713,38.91131599209454,3449.4294871794873,2647.5576923076924,27.826923076923077,124.13171856978086,95.27543252595156,6.2043829296424455,0.1460076124567469,6.2043829296424455,0.7611003460207599,0.7162260668973454,6.2043829296424455,1687.9683496608893
14,unbescape,0.9908,0.9549,0.9119,216,177,742,5,131,85.7683615819209,67.43579931972789,8.266666666666667,2.5969868173258,4.192090395480226,258.79613935969866,76.07768361581921,12792.4,3780.0,43.2,361.3672316384181,106.77966101694915,4.192090395480226,0.15043502824858768,4.192090395480226,0.8109039548022597,0.6527118644067796,4.192090395480226,74.36129032258064
15,jackson-databind,0.8418,0.4226,0.1786,6716,21933,63891,293,158,29.18401495463457,46.917385057471265,17.307432017364007,2.124192111204707,2.9130077964710708,404.3715486018377,397.53254406168907,31221.962457337882,30152.771331058022,22.92150170648464,417.09000136780196,402.8068207723522,2.9130077964710708,0.027796060730406427,2.9130077964710708,0.9819372634842457,0.9705083663885424,2.9130077964710708,25017.876347135563
16,jsr107spec,0.9727,0.8709,0.7585,734,278,2170,13,167,138.48561151079136,63.13888888888889,14.406815406815404,2.6184052757793768,7.805755395683454,45.53794964028777,29.552907673860915,2575.846153846154,1888.923076923077,56.46153846153846,120.45323741007195,88.33093525179856,7.805755395683454,0.3189928057553955,7.805755395683454,0.8410791366906474,0.7922302158273384,7.805755395683454,148.1153846153846
17,jboss-logging,0.995,0.9753,0.9512,239,90,549,20,178,54.51111111111111,73.82457482993198,25.77790642772261,1.7580639730639729,6.1,60.154074074074074,22.007070707070707,850.05,343.95,11.95,188.9,76.43333333333334,6.1,0.3746666666666665,6.1,0.8062222222222221,0.6539999999999999,6.1,74.56521739130434
